version:v1.0,,,,,,,,,,,,,,,,
Name [displayName] Required,User name [userPrincipalName] Required,Initial password [passwordProfile] Required,Block sign in (Yes/No) [accountEnabled] Required,First name [givenName],Last name [surname],Job title [jobTitle],Department [department],Usage location [usageLocation],Street address [streetAddress],State or province [state],Country or region [country],Office [physicalDeliveryOfficeName],City [city],ZIP or postal code [postalCode],Office phone [telephoneNumber],Mobile phone [mobile]
Hardy Phillip,Burnett@domainname.onmicrosoft.com,JK7915233, No,Lacey,Burnett,Neurobiologist ,,,71658  Mexico Ave.,MC,,,Meridian,89009,358-094-9556,
Burnett Lacey,Schneider@domainname.onmicrosoft.com,SG9686225, No,Holmes,Schneider,Senior Project Manager,,,44883 North Clairton St.,MN,,,Geneva,36130,144-493-9602,
Schneider Holmes,Arnold@domainname.onmicrosoft.com,ES3379667, No,Dustin,Arnold,Air Traffic Controller,,,32729  La Jolla Ct.,CS,,,Boston,77981,568-729-7655,
Arnold Dustin,Page@domainname.onmicrosoft.com,PP4002920, No,Coby,Page,Payload Scientist ,,,7607 East Argentina Way,TN,,,Citrus Heights,34720,547-613-5696,
Page Coby,Knight@domainname.onmicrosoft.com,HD4566452, No,Brody,Knight,System Engineer/Integrator,,,63220  Niger Ln.,AU,,,Gatlinburg,80504,307-292-1661,
Knight Brody,Faulkner@domainname.onmicrosoft.com,YM3421886, No,Alden,Faulkner,Data Systems Specialist,,,5087 East Suriname Ave.,VN,,,Sandy Springs,2735,628-628-9460,
Faulkner Alden,Garrison@domainname.onmicrosoft.com,DH4823599, No,Louis,Garrison,Meteorologist,,,86531 North South Africa Ln.,KR,,,Toledo,58233,296-708-2135,
Garrison Louis,Gross@domainname.onmicrosoft.com,RJ1104107, No,Moses,Gross,In,,,51850  Costa Rica Ct.,FR,,,Rensselaer,90356,335-344-9498,
Gross Moses,Hartman@domainname.onmicrosoft.com,PM169736, No,Jack,Hartman,Extravehicular Activities (EVA) Trainer,,,64353 West Kiribati Way,ES,,,Hastings,35583,122-390-0273,
Hartman Jack,Gutierrez@domainname.onmicrosoft.com,JS3419945, No,Reese,Gutierrez,Assembly Operations ,,,32314 North Togo Ln.,AM,,,Richmond,79404,404-247-7559,
Gutierrez Reese,Edwards@domainname.onmicrosoft.com,UT1179847, No,Ivan,Edwards,Public Affairs Event Coordinator,,,32566 South Uganda Ct.,PA,,,Stamford,5334,597-949-5719,
Edwards Ivan,Mcmahon@domainname.onmicrosoft.com,RC232939, No,Wing,Mcmahon,ISS Reliability Engineer,,,12596 East Gatlinburg Way,QA,,,Lewiston,81399,604-682-8545,
Mcmahon Wing,Guzman@domainname.onmicrosoft.com,QG4826863, No,Hadley,Guzman,Payloads Facilities Manager,,,13646 West Madagascar Ave.,NL,,,Fajardo,34361,611-403-7197,
Guzman Hadley,Jordan@domainname.onmicrosoft.com,MT4084872, No,Knox,Jordan,Associate Producer,,,46574 South Haiti Ct.,PE,,,Laguna Woods,57365,380-392-5328,
Jordan Knox,Bennett@domainname.onmicrosoft.com,UE2951966, No,Plato,Bennett,First Female Admitted to the Navy EOD ,,,42366 East Guinea Way,UY,,,Oklahoma City,78983,027-695-9809,
Bennett Plato,Erickson@domainname.onmicrosoft.com,HG2107787, No,Tamekah,Erickson,Payload Scientist ,,,53514 South Qatar Way,PL,,,Wisconsin Dells,72127,319-014-3001,
Erickson Tamekah,Huff@domainname.onmicrosoft.com,OY9052194, No,Clinton,Huff,Chemist,,,11907 West Hilo Ct.,UY,,,Peoria,66183,592-983-4517,
Huff Clinton,Beck@domainname.onmicrosoft.com,UQ1443802, No,Cody,Beck,Systems Integration Engineer,,,6016 West Austria St.,IR,,,Citrus Heights,61833,787-903-1091,
Beck Cody,Lowe@domainname.onmicrosoft.com,XD8016283, No,Zeph,Lowe,Solar Scientists,,,25348 South Bowling Green Ln.,CN,,,Fairbanks,25137,390-866-3051,
Lowe Zeph,Powell@domainname.onmicrosoft.com,WD2325693, No,Abraham,Powell,Chief of Life Sciences Division,,,65949 South Peru Ct.,BO,,,Paramount,33037,186-604-4686,
Powell Abraham,Downs@domainname.onmicrosoft.com,BQ2389420, No,Nadine,Downs,Lead Mechanical Engineer,,,40427 East Pocatello Ave.,CS,,,Mentor,15127,229-295-2821,
Downs Nadine,Morton@domainname.onmicrosoft.com,QS8171160, No,Cally,Morton,Mission Planning and Educational Outreach Team,,,1485 North Jordan Way,HK,,,Spartanburg,13174,920-299-1221,
Morton Cally,Alford@domainname.onmicrosoft.com,EA1974985, No,Iris,Alford,Plasma Wave Assistant Science Coordinator,,,59202 West Kyrgyzstan Ct.,US,,,La Jolla,22321,045-837-7702,
Alford Iris,Poole@domainname.onmicrosoft.com,YI9241302, No,Nicholas,Poole,Dive Specialist Neutral Buoyancy Lab (NBL) ,,,4045  Andorra Ave.,LI,,,Fort Wayne,79818,844-506-7001,
Poole Nicholas,Ballard@domainname.onmicrosoft.com,XT7700692, No,Tanner,Ballard,Knowledge Engineer,,,20340 North Holy See (Vatican City State) Ln.,OM,,,Sheboygan,76124,638-414-1761,
Ballard Tanner,Copeland@domainname.onmicrosoft.com,WK680721, No,Ramona,Copeland,Payload Project Manager,,,48284 South Mauritania Way,DO,,,Indianapolis,99824,873-619-4266,
Copeland Ramona,Madden@domainname.onmicrosoft.com,DO2419768, No,Akeem,Madden,First Woman Manager of NASA's Simulation Laboratories ,,,51378 West Christmas Island Ct.,EG,,,Danville,89671,119-753-4514,
Madden Akeem,Fuentes@domainname.onmicrosoft.com,KQ7179800, No,Camilla,Fuentes,Deputy Uplink Systems Engineer ,,,79637 East Iraq Blvd.,TW,,,Johnson City,16943,591-779-8520,
Fuentes Camilla,Bishop@domainname.onmicrosoft.com,MH8641331, No,Reagan,Bishop,HST Data Analysts,,,56141  Bhutan Ave.,SK,,,Durango,95866,635-239-2977,
Bishop Reagan,Juarez@domainname.onmicrosoft.com,KM7528211, No,Kermit,Juarez,Aerodynamics Engineer,,,69084 North Louisville Ln.,ES,,,San Mateo,53987,029-732-1551,
Juarez Kermit,Benjamin@domainname.onmicrosoft.com,XF6264070, No,Shafira,Benjamin,Spacecraft Design Engineer,,,11500 South Mongolia Ln.,BH,,,Eugene,68449,138-609-7132,
Benjamin Shafira,Patton@domainname.onmicrosoft.com,SS5392499, No,Grace,Patton,Shuttle Test Director,,,28028 East Huntington Park Ave.,DE,,,Easton,57323,755-916-7900,
Patton Grace,Petty@domainname.onmicrosoft.com,ZY2784248, No,Iona,Petty,International Liaison Office Personnel,,,78536  Dearborn St.,HU,,,Sheridan,70160,100-538-1980,
Petty Iona,Rosales@domainname.onmicrosoft.com,UR8778893, No,Edan,Rosales,Outreach specialist,,,44864 East Lockport Way,YE,,,City of Industry,94108,438-474-4599,
Rosales Edan,Burt@domainname.onmicrosoft.com,FK4574183, No,Nell,Burt,Life Sciences Division Deputy Chief,,,73706  Burkina Faso St.,LB,,,Saukville,93430,440-679-3855,
Burt Nell,Francis@domainname.onmicrosoft.com,CU7128284, No,Laurel,Francis,Aeroacoustics Engineer,,,92864  Reunion Way,BG,,,Normal,36725,903-913-1996,
Francis Laurel,Merritt@domainname.onmicrosoft.com,IF1783055, No,Miranda,Merritt,Senior Project Engineer -- Earthkam,,,94235 East Malta Blvd.,MC,,,Gastonia,58515,176-573-4973,
Merritt Miranda,Hall@domainname.onmicrosoft.com,OB5535680, No,Kylee,Hall,Space Station Robotics Instructor,,,402 North Barbados Way,LY,,,Yakima,31990,796-467-8187,
Hall Kylee,Shepherd@domainname.onmicrosoft.com,SM7159002, No,Jenette,Shepherd,HST Science Education Specialists,,,52318 North Cortland Ct.,MO,,,Forest Lake,28448,189-902-1008,
Shepherd Jenette,Schwartz@domainname.onmicrosoft.com,VT5670359, No,Jennifer,Schwartz,Propulsion Engineer,,,19881 South Grand Forks St.,OM,,,DuBois,20376,515-990-5968,
Schwartz Jennifer,Sellers@domainname.onmicrosoft.com,HV7531595, No,Erin,Sellers,Exobiologist,,,54242 East Bremerton Ave.,AL,,,Manhattan,8608,788-649-4773,
Sellers Erin,Mckinney@domainname.onmicrosoft.com,AY8638519, No,Tamekah,Mckinney,First American Woman on Russia's Mir Space Station,,,90195  Clarksburg Ct.,TT,,,West Covina,84678,559-600-2032,
Mckinney Tamekah,Ramsey@domainname.onmicrosoft.com,AX4932158, No,Buckminster,Ramsey,Meteorologist,,,26579 West Liechtenstein Ln.,UZ,,,Laurel,30480,036-784-4706,
Ramsey Buckminster,Castillo@domainname.onmicrosoft.com,KH8234321, No,Marvin,Castillo,Magnetometer (MAG) Science Coordinator,,,40686 East Durant Ave.,BO,,,East Lansing,20274,205-916-4773,
Castillo Marvin,Mcleod@domainname.onmicrosoft.com,FA274315, No,Christine,Mcleod,First African American Female To Receive A Ph.D. In Engineering ,,,81721  Belgium St.,SY,,,Aguadilla,27747,616-998-2698,
Mcleod Christine,Watts@domainname.onmicrosoft.com,RK8570735, No,Althea,Watts,Laboratory Manager,,,31845 West Congo Blvd.,BE,,,Jersey City,50346,954-223-9330,
Watts Althea,Head@domainname.onmicrosoft.com,PE9980199, No,Ulric,Head,Planetary Scientist,,,18916 West Philippines Ln.,FI,,,Huntington,5883,541-591-6033,
Head Ulric,Barrera@domainname.onmicrosoft.com,LR3686831, No,Camilla,Barrera,K-12 Outreach Support Personnel,,,77487 South Mexico Ct.,UZ,,,Guayama,47353,321-663-8607,
Barrera Camilla,Mejia@domainname.onmicrosoft.com,WO3909846, No,Hu,Mejia,Systems Verification,,,46246 South Peru Ln.,LI,,,Gulfport,21735,676-806-7455,
Mejia Hu,Russell@domainname.onmicrosoft.com,RD215687, No,Kerry,Russell,Chief Project Engineer ,,,36057 West Germany Ave.,US,,,Kennesaw,12869,234-213-5339,
Russell Kerry,Anderson@domainname.onmicrosoft.com,VB867299, No,Lael,Anderson,Deputy Director of Aeronautics,,,46644 South Nicaragua Blvd.,MN,,,Turlock,34849,316-117-1499,
Anderson Lael,Crawford@domainname.onmicrosoft.com,SO6405138, No,Brynne,Crawford,Computer Programmer,,,63057 West Norton Blvd.,HR,,,Nanticoke,89855,446-086-9272,
Crawford Brynne,Campos@domainname.onmicrosoft.com,SX5474689, No,Abdul,Campos,Radio Astronomer,,,78536  Faroe Islands Ln.,GB,,,Frisco,97712,417-917-5045,
Campos Abdul,Santos@domainname.onmicrosoft.com,GD5837843, No,Dai,Santos,Launch Site Support Office Personnel,,,77792  Bolivia Ave.,SA,,,Whittier,54805,150-313-7573,
Santos Dai,Holman@domainname.onmicrosoft.com,AB5999924, No,Devin,Holman,Scientist,,,44976 West Uruguay Ln.,CR,,,Rome,23611,423-868-2505,
Holman Devin,Singleton@domainname.onmicrosoft.com,RH6002426, No,Risa,Singleton,Microbial Ecologist ,,,17042  Portugal St.,LI,,,Jackson,26811,916-733-6612,
Singleton Risa,Rowland@domainname.onmicrosoft.com,RV3988513, No,Penelope,Rowland,Mathematical Researcher,,,81483 North Falkland Islands (Malvinas) Ct.,PL,,,Cairo,95612,281-069-2098,
Rowland Penelope,Alexander@domainname.onmicrosoft.com,BB6290908, No,Wade,Alexander,Quality Assurance Specialist,,,24333 North Romania Ct.,IE,,,Anchorage,86662,806-017-0079,
Alexander Wade,Hall@domainname.onmicrosoft.com,IW3797517, No,Venus,Hall,X-38 Project Manager,,,24079  Algeria Ct.,BE,,,Salinas,52896,102-285-8610,
Hall Venus,Olson@domainname.onmicrosoft.com,DG9467877, No,Guy,Olson,Dive Specialist Neutral Buoyancy Lab (NBL) ,,,11490 South Chickasha Way,TN,,,Lawton,88036,148-451-0648,
Olson Guy,Cook@domainname.onmicrosoft.com,SG7666507, No,Carl,Cook,Space Physicist Space Radiation Analysis,,,89933  Latrobe Ave.,HK,,,Weirton,9455,395-940-9802,
Cook Carl,Merritt@domainname.onmicrosoft.com,JC6514343, No,Blaze,Merritt,Simulation Supervisor,,,58006  Luxembourg Way,US,,,Woodruff,9540,537-887-9665,
Merritt Blaze,Hill@domainname.onmicrosoft.com,RW5765206, No,Nasim,Hill,Space Physiology,,,6025 West Chandler St.,GE,,,Kalamazoo,74334,040-624-3064,
Hill Nasim,Sanders@domainname.onmicrosoft.com,BG2275129, No,Galvin,Sanders,Orbiter Test Conductor,,,87924 East Anguilla Ct.,NO,,,Rocky Mount,13053,442-114-2319,
Sanders Galvin,Dennis@domainname.onmicrosoft.com,IW2623860, No,Myles,Dennis,Astronauts,,,61196 West Angola Way,PR,,,Concord,38609,591-531-7065,
Dennis Myles,Stanley@domainname.onmicrosoft.com,AE2298778, No,Garth,Stanley,Conceptual Aircraft Designer,,,61038 North Senegal Way,BH,,,Fremont,36595,701-463-5280,
Stanley Garth,Harmon@domainname.onmicrosoft.com,KC726452, No,Yvette,Harmon,Operations Servicing Mission,,,40982  Cape Verde Blvd.,SY,,,Lynwood,72135,125-979-0991,
Harmon Yvette,Patel@domainname.onmicrosoft.com,UD1309520, No,Stephanie,Patel,Increment Experiment Lead Engineer,,,58212 West Falkland Islands (Malvinas) St.,MN,,,Champaign,83666,083-418-5451,
Patel Stephanie,Maxwell@domainname.onmicrosoft.com,AC5716598, No,Colette,Maxwell,Exercise Physiologist,,,59785 South Belarus Ln.,FO,,,Centennial,58583,390-390-1560,
Maxwell Colette,Hardin@domainname.onmicrosoft.com,RE9820746, No,Alec,Hardin,Astronomy Educator,,,1222 West Lithuania Way,PA,,,Montpelier,5076,259-999-8336,
Hardin Alec,Floyd@domainname.onmicrosoft.com,JZ7076217, No,Tatum,Floyd,Second/Third Grade Multi-Age Teacher,,,35115 East Bouvet Island Ln.,SE,,,Marshall,77503,917-424-3867,
Floyd Tatum,Vincent@domainname.onmicrosoft.com,IH2967162, No,Linda,Vincent,Marathon Competitor ,,,60096 South Ethiopia St.,SA,,,Idaho Falls,79728,881-629-3701,
Vincent Linda,Pennington@domainname.onmicrosoft.com,VP5210909, No,Cameron,Pennington,Chief Veterinary Officer,,,98587 North Hermitage Blvd.,JM,,,Kemmerer,93029,158-945-8150,
Pennington Cameron,Moore@domainname.onmicrosoft.com,KG9437325, No,Alvin,Moore,Business Officer,,,49285 North Libyan Arab Jamahiriya Ln.,CR,,,Los Angeles,72399,921-670-1579,
Moore Alvin,Flowers@domainname.onmicrosoft.com,RQ5044569, No,Yeo,Flowers,Assistant Astronomer,,,39557 East Lock Haven St.,QA,,,Simi Valley,53015,020-721-7770,
Flowers Yeo,Francis@domainname.onmicrosoft.com,CB233199, No,Jaime,Francis,Executive Director Physical Fitness and Sports ,,,73213 North Fairmont Ave.,ZA,,,West Haven,93833,917-790-4451,
Francis Jaime,Newman@domainname.onmicrosoft.com,GX8433468, No,Wylie,Newman,Professor Emeritus Colorado State University ,,,5725 East Hannibal Way,IE,,,Maywood,2271,901-769-7870,
Newman Wylie,Edwards@domainname.onmicrosoft.com,LD1703772, No,Damon,Edwards,Software Development Lead,,,54750 East Orem Ave.,HN,,,San Juan Capistrano,65607,006-178-2471,
Edwards Damon,Booker@domainname.onmicrosoft.com,FZ4194814, No,Lara,Booker,Manager of Mars Exploration Program,,,60866 East Central African Republic St.,IE,,,Tamuning,18328,040-996-8081,
Booker Lara,Merrill@domainname.onmicrosoft.com,IK815444, No,Galena,Merrill,Journalist ,,,15045 South Italy Ct.,DK,,,Billings,65638,702-633-9472,
Merrill Galena,York@domainname.onmicrosoft.com,EC899703, No,Mariko,York,HST Astronomers,,,82893  Palau St.,HU,,,Richmond,52009,808-885-9817,
York Mariko,Holland@domainname.onmicrosoft.com,LY3300782, No,Zephania,Holland,Certified Interpreter ,,,14170  Niger Ct.,ZA,,,West Covina,43112,880-129-2591,
Holland Zephania,Haney@domainname.onmicrosoft.com,RQ8051437, No,Shelby,Haney,Equal Opportunity Office Personnel,,,16214 South Chile Ln.,YE,,,Garden Grove,22167,721-155-4242,
Haney Shelby,Crane@domainname.onmicrosoft.com,AX625468, No,Walter,Crane,HST Astronomers,,,56550 North Togo Ave.,FO,,,South Bend,57626,859-485-8465,
Crane Walter,Cline@domainname.onmicrosoft.com,GD2477955, No,Zahir,Cline,Mission Documentarian ,,,98368 North Agoura Hills St.,NO,,,Casper,10270,478-355-0618,
Cline Zahir,Schneider@domainname.onmicrosoft.com,RS6570942, No,Jared,Schneider,Research Astrophysicist,,,592 East Antarctica St.,EE,,,Aliquippa,62452,074-211-4696,
Schneider Jared,Conway@domainname.onmicrosoft.com,UT5465633, No,Addison,Conway,Senior Scientist,,,86292  Thailand Blvd.,KW,,,York,84636,019-915-4810,
Conway Addison,Stephenson@domainname.onmicrosoft.com,MI7448310, No,Ralph,Stephenson,Teacher,,,12816 North South Africa Ave.,BG,,,Fort Dodge,24105,129-812-8475,
Stephenson Ralph,Perkins@domainname.onmicrosoft.com,DR6097058, No,Kay,Perkins,Chief Engineer Bishop Marine Services ,,,25399 West Algeria Ln.,KG,,,Salisbury,21609,022-496-2015,
Perkins Kay,Shepard@domainname.onmicrosoft.com,EU9915704, No,Armando,Shepard,Hardware Engineer,,,96632 North Christmas Island Way,GE,,,Hollywood,29863,248-331-6343,
Shepard Armando,Harrison@domainname.onmicrosoft.com,HQ6109062, No,Wesley,Harrison,Flight Manager,,,79401 West Philippines Way,SV,,,Laconia,50276,438-065-5194,
Harrison Wesley,Knowles@domainname.onmicrosoft.com,VT968196, No,Cora,Knowles,HST Data Archive Specialists,,,5882  Ecuador Ct.,ZA,,,Latrobe,48619,160-804-2256,
Knowles Cora,Miranda@domainname.onmicrosoft.com,TF7908108, No,Geoffrey,Miranda,Experiment Integration Engineer,,,2030 West Nauru Ave.,CO,,,Santa Rosa,59308,222-693-6092,
Miranda Geoffrey,Summers@domainname.onmicrosoft.com,HV5780325, No,Janna,Summers,Laboratory Manager,,,32977 South Senegal St.,CS,,,Moline,68524,180-674-0415,
Summers Janna,Holland@domainname.onmicrosoft.com,RU496062, No,Lance,Holland,Educational Personnel,,,27148 North Honduras Ave.,YE,,,Naperville,76505,721-166-1754,
Holland Lance,Ingram@domainname.onmicrosoft.com,WT2289435, No,Mannix,Ingram,Curriculum Specialist,,,11512  Netherlands Ln.,SG,,,Claremont,90230,689-335-8280,
Ingram Mannix,Bartlett@domainname.onmicrosoft.com,IN9989320, No,Boris,Bartlett,Mechanical Engineer,,,38324 East Bangladesh Ln.,GB,,,Taunton,14118,421-697-0179,
Bartlett Boris,Lara@domainname.onmicrosoft.com,XC9503091, No,Jillian,Lara,Director Astrobiology and Space Research ,,,49960 East Hartford Ave.,PL,,,Forrest City,96633,690-953-9183,
Lara Jillian,Barrett@domainname.onmicrosoft.com,AP3457812, No,Naida,Barrett,Professor Emeritus Colorado State University ,,,11819 West Bulgaria Ct.,AR,,,Spokane Valley,95620,156-720-2163,
Barrett Naida,Kirkland@domainname.onmicrosoft.com,IB9101380, No,Shafira,Kirkland,Commercial Pilot,,,72045 East Moldova Blvd.,TH,,,Las Cruces,75315,396-428-2065,
Kirkland Shafira,Rodriguez@domainname.onmicrosoft.com,DI2728793, No,Veronica,Rodriguez,First Female To Win Iditerod Race.,,,"21963  Palestinian Territory, Occupied Way",HN,,,Woonsocket,17444,435-013-7714,
Rodriguez Veronica,Sampson@domainname.onmicrosoft.com,QU8046759, No,Kato,Sampson,Reasearch Instrument Maker,,,41320  Albania Ave.,DZ,,,Batavia,67681,516-723-3522,
Sampson Kato,Pugh@domainname.onmicrosoft.com,YR264855, No,Lara,Pugh,Lead Schedule Integration Engineer,,,26819 West Albania Ave.,KR,,,Naperville,38920,645-889-5213,
Pugh Lara,Buchanan@domainname.onmicrosoft.com,MP9408145, No,Henry,Buchanan,First African American Female To Receive A Ph.D. In Engineering ,,,94699 South Bay City St.,MX,,,Olympia,92530,001-780-8596,
Buchanan Henry,Duke@domainname.onmicrosoft.com,QE6864674, No,Abdul,Duke,System Safety Reliability & Quality Assurance Lead,,,24197 North Macedonia Ave.,LU,,,Hackensack,97008,067-036-8131,
Duke Abdul,Rosario@domainname.onmicrosoft.com,FK5685188, No,Ray,Rosario,Aerospace Engineer Technician,,,35573 South Charleston Ave.,IL,,,Cary,70029,827-329-2752,
Rosario Ray,Rutledge@domainname.onmicrosoft.com,EW3392081, No,Briar,Rutledge,Payload Manager ,,,48457 North El Monte Ct.,IN,,,Cody,79277,044-309-6674,
Rutledge Briar,Hunter@domainname.onmicrosoft.com,GO5676977, No,Carl,Hunter,Test Engineer,,,16509  Bahamas Way,DO,,,Lynwood,10385,115-926-1286,
Hunter Carl,Hogan@domainname.onmicrosoft.com,CE6989712, No,Lucas,Hogan,Meteorology Experiment Science Team Leader,,,54818 South South Africa St.,AE,,,Irvine,32608,616-749-8655,
Hogan Lucas,Ballard@domainname.onmicrosoft.com,RJ4673948, No,Shelly,Ballard,Technical Leader for Space Station Outreach Group,,,93209  Benin Blvd.,GE,,,Cerritos,76864,490-138-6349,
Ballard Shelly,Chase@domainname.onmicrosoft.com,GJ4079495, No,Jemima,Chase,Cognizant Engineer,,,5703 North Belize St.,GR,,,Paducah,66972,900-937-8058,
Chase Jemima,Jennings@domainname.onmicrosoft.com,YE5697147, No,Maite,Jennings,First Female To Head Major University ,,,49073 West Armenia Blvd.,TR,,,Murray,89959,520-557-5323,
Jennings Maite,Suarez@domainname.onmicrosoft.com,NH3975989, No,Janna,Suarez,Professor Emerita Exercise Science and Physical Education ,,,88121 North Marietta St.,FI,,,Champaign,65533,352-867-6686,
Suarez Janna,Murray@domainname.onmicrosoft.com,WC4766333, No,Nita,Murray,Crew Training,,,22771 West Jamestown Ave.,SA,,,Moline,2017,206-760-3157,
Murray Nita,Strong@domainname.onmicrosoft.com,SK8119159, No,Shea,Strong,Multimedia Education Specialist ,,,26724 South Easton St.,TT,,,White Plains,69724,459-384-3744,
Strong Shea,Mckay@domainname.onmicrosoft.com,RW4891931, No,Tanek,Mckay,Data Systems Specialist,,,47237 North Svalbard and Jan Mayen Ct.,KW,,,San Rafael,62451,352-955-8923,
Mckay Tanek,Rivers@domainname.onmicrosoft.com,BI898580, No,Ila,Rivers,Equal Opportunity Office Personnel,,,98891 North American Samoa Ln.,CS,,,Pascagoula,8012,687-851-7035,
Rivers Ila,Gill@domainname.onmicrosoft.com,SD771288, No,Dennis,Gill,Orbiter Operations Group Lead,,,89415 West Hartford Way,EE,,,Norwalk,36528,801-440-9844,
Gill Dennis,Carpenter@domainname.onmicrosoft.com,VB2620674, No,Slade,Carpenter,Solar Scientists,,,69681 North Marshall Islands Ave.,LY,,,Chester,98468,347-787-2849,
Carpenter Slade,Watts@domainname.onmicrosoft.com,JW6813052, No,Ryan,Watts,HST Commanding Astronomers,,,34200 South Ann Arbor Ln.,CS,,,Culver City,52825,751-783-0080,
Watts Ryan,Gallegos@domainname.onmicrosoft.com,RH7466322, No,Leroy,Gallegos,Technician ,,,79809 West Iraq Ct.,BG,,,Williston,66965,253-555-3402,
Gallegos Leroy,Wilkerson@domainname.onmicrosoft.com,ZY5412073, No,Debra,Wilkerson,Pharmacologist,,,80376  Cook Islands Ln.,OM,,,Galesburg,96331,081-307-7383,
Wilkerson Debra,Hudson@domainname.onmicrosoft.com,MN1525787, No,Hiram,Hudson,Senior Software Engineer,,,"55912  Korea, Republic of Blvd.",FI,,,Coos Bay,4584,664-077-9802,
Hudson Hiram,Malone@domainname.onmicrosoft.com,HL7600525, No,Rowan,Malone,Director of Development Space Center Houston ,,,61333  Anguilla Way,AM,,,Honolulu,89648,228-343-9917,
Malone Rowan,Blair@domainname.onmicrosoft.com,RD3181785, No,Iris,Blair,College Cooperative Education Student,,,67144 West Saint Lucia Blvd.,NI,,,Wheaton,93047,793-193-1987,
